task,size,dynars_s,pydyna_s,speedup
nodes,10000,0.000516,0.027488,53.2
nodes,100000,0.002286,0.223287,97.7
nodes,1000000,0.021316,2.937512,137.8
nodes,5000000,0.100044,17.016744,170.1
connectivity,10000,0.000769,0.032988,42.9
connectivity,100000,0.002460,0.320136,130.1
connectivity,1000000,0.023558,3.557908,151.0
connectivity,5000000,0.100702,21.787039,216.4
include-tree,10000,0.000843,0.028488,33.8
include-tree,100000,0.002129,0.221070,103.8
include-tree,1000000,0.019995,2.452756,122.7
include-tree,5000000,0.094554,14.331199,151.6
