shape,files,blocks,bytes,nodes,include_s,parse_s,marshal_s,index_s,dangle_s,conn_s,field_s
monolithic,1,8204,1786027,8000,0.000417,0.000670,0.001114,0.005651,0.002457,0.003862,0.002992
monolithic,1,16204,3562027,16000,0.000401,0.000492,0.000725,0.003311,0.003285,0.004683,0.004390
monolithic,1,32204,7114027,32000,0.000592,0.000745,0.001169,0.004972,0.006578,0.009015,0.008921
monolithic,1,64204,14218027,64000,0.001479,0.001707,0.001910,0.011471,0.013247,0.017443,0.017793
monolithic,1,128204,28426027,128000,0.002622,0.003630,0.003735,0.021845,0.025561,0.035433,0.035707
monolithic,1,256204,56842027,256000,0.007696,0.007571,0.007190,0.040099,0.051019,0.071030,0.071632
monolithic,1,512204,113674027,512000,0.023163,0.015411,0.014413,0.080360,0.104141,0.143218,0.142482
monolithic,1,1000204,222010027,1000000,0.024654,0.031456,0.027639,0.159010,0.199295,0.280614,0.277214
monolithic,1,2000204,444010027,2000000,0.031586,0.062134,0.055445,0.332424,0.397212,0.557860,0.556838
monolithic,1,3500204,777010027,3500000,0.045623,0.109563,0.095457,0.560903,0.696987,0.977686,0.974714
monolithic,1,5000204,1110010027,5000000,0.053680,0.157060,0.135437,0.777350,1.012433,1.406714,1.437821
flat,257,9418,1785256,7936,0.002153,0.004257,0.000327,0.002381,0.000656,0.000827,0.002355
flat,257,17354,3547048,15872,0.002166,0.003923,0.000548,0.002268,0.000843,0.000983,0.004609
flat,257,33482,7127464,32000,0.002331,0.004000,0.001035,0.002702,0.001325,0.001756,0.009470
flat,257,65482,14231464,64000,0.002267,0.004211,0.001817,0.003953,0.002255,0.003110,0.018157
flat,257,129482,28439464,128000,0.002340,0.004478,0.003578,0.007475,0.004224,0.006168,0.036545
flat,257,257482,56855464,256000,0.002753,0.005004,0.006662,0.009617,0.008454,0.012286,0.071638
flat,257,513482,113687464,512000,0.003621,0.007270,0.014648,0.018100,0.017029,0.024482,0.145027
flat,257,1001418,222009256,999936,0.007345,0.010864,0.026582,0.030263,0.034452,0.048031,0.283843
flat,257,2001354,443995048,1999872,0.013101,0.021871,0.053104,0.067160,0.066990,0.093878,0.566234
flat,257,3501258,776973736,3499776,0.016841,0.033196,0.098675,0.093318,0.132231,0.196030,1.016995
flat,257,5001418,1110009256,4999936,0.023255,0.048457,0.138143,0.173650,0.167056,0.239435,1.450346
deep-tree,259,9400,1796854,7992,0.002034,0.004214,0.000480,0.002267,0.000450,0.000611,0.002407
deep-tree,259,17392,3571078,15984,0.001956,0.004122,0.000551,0.002661,0.000686,0.000994,0.004651
deep-tree,259,33376,7119526,31968,0.002033,0.004208,0.001071,0.003019,0.001315,0.001668,0.009174
deep-tree,259,65344,14216422,63936,0.001885,0.004297,0.001861,0.004552,0.002240,0.003121,0.018350
deep-tree,259,129280,28410214,127872,0.002175,0.004693,0.003571,0.006535,0.004320,0.006377,0.036903
deep-tree,259,257368,56845750,255960,0.002409,0.005598,0.007359,0.010572,0.008606,0.011749,0.075149
deep-tree,259,513328,113668870,511920,0.006354,0.007900,0.013265,0.019100,0.017184,0.024050,0.146871
deep-tree,259,1001272,221992438,999864,0.005975,0.011012,0.027609,0.032223,0.032422,0.047452,0.290541
deep-tree,259,2001352,444010198,1999944,0.010352,0.019377,0.056337,0.062811,0.068778,0.097878,0.579553
deep-tree,259,3501256,776988886,3499848,0.016215,0.032414,0.097304,0.107399,0.116267,0.167063,1.014489
deep-tree,259,5001376,1110015526,4999968,0.023022,0.047597,0.130597,0.145898,0.164115,0.238532,1.424950
